P1_Easy_EDA,P10_Hard_EDA,P10_Easy_EDA,P9_Hard_EDA,P9_Easy_EDA,P8_Hard_EDA,P8_Easy_EDA,P7_Hard_EDA,P7_Easy_EDA,P6_Hard_EDA,P6_Easy_EDA,P5_Hard_EDA,P5_Easy_EDA,P4_Hard_EDA,P4_Easy_EDA,P3_Hard_EDA,P3_Easy_EDA,P2_Hard_EDA,P2_Easy_EDA,P1_Hard_EDA
1540499479.0,1541784533.0,1541783045.0,1541781815.0,1541780574.0,1541717570.0,1541715908.0,1541711011.0,1541709367.0,1540587747.0,1540586436.0,1540585271.0,1540583915.0,1540582745.0,1540581429.0,1540506143.0,1540504716.0,1540503464.0,1540502223.0,1540500923.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037154,0.075589,0.029467,0.029464999999999998,0.070465,0.832765,0.832765,0.597064,0.5252829999999999,0.002562,0.002562,0.002562,0.002562,0.001281,0.002562,0.002562,0.002562,0.773784,0.831484,0.024342
0.06918400000000001,0.119149,0.064059,0.062774,0.119149,1.177668,1.178949,0.689315,0.639307,0.024342,0.026905000000000002,0.023061,0.025624,0.023061,0.02178,0.024342,0.024342,0.876539,0.927839,0.053809
0.067902,0.119149,0.060215,0.064055,0.119149,1.4916260000000001,1.44166,0.747238,0.639307,0.024342,0.025624,0.02178,0.025624,0.023061,0.020499,0.024342,0.024342,0.718964,0.786909,0.053809
0.06918400000000001,0.12171199999999999,0.058934,0.066617,0.12171199999999999,1.463539,1.556966,0.571706,0.6418699999999999,0.025624,0.028186000000000003,0.024342,0.026905000000000002,0.025624,0.02178,0.025624,0.026905000000000002,0.709996,0.783066,0.055090999999999994
0.06918400000000001,0.12171199999999999,0.056372000000000005,0.066617,0.119149,1.457133,1.818425,0.571706,0.643151,0.025624,0.028186000000000003,0.023061,0.025624,0.024342,0.023061,0.024342,0.025624,0.708715,0.786909,0.053809
0.071746,0.122993,0.055090999999999994,0.06917899999999999,0.12171199999999999,1.434072,2.060567,0.570425,0.643151,0.026905000000000002,0.029467,0.025624,0.028186000000000003,0.028186000000000003,0.024342,0.026905000000000002,0.028186000000000003,0.709996,0.785628,0.057652999999999996
0.070465,0.12171199999999999,0.058934,0.08583400000000001,0.119149,1.430228,2.328532,0.556331,0.645713,0.025624,0.028186000000000003,0.024342,0.026905000000000002,0.025624,0.024342,0.026905000000000002,0.025624,0.707434,0.784347,0.055090999999999994
0.070465,0.12171199999999999,0.060215,0.090958,0.12171199999999999,1.435353,2.378499,0.55505,0.643151,0.026905000000000002,0.029467,0.024342,0.028186000000000003,0.025624,0.023061,0.028186000000000003,0.028186000000000003,0.703591,0.785628,0.057652999999999996
0.071746,0.124274,0.056372000000000005,0.088396,0.12171199999999999,1.449446,2.21707,0.552487,0.6495569999999999,0.025624,0.029467,0.024342,0.026905000000000002,0.024342,0.024342,0.025624,0.026905000000000002,0.693342,0.799721,0.056372000000000005
0.070465,0.124274,0.057652999999999996,0.08967699999999999,0.119149,1.476351,2.299066,0.549925,0.652119,0.026905000000000002,0.029467,0.025624,0.028186000000000003,0.026905000000000002,0.023061,0.028186000000000003,0.028186000000000003,0.697185,0.821501,0.057652999999999996
0.071746,0.124274,0.056372000000000005,0.090958,0.12171199999999999,1.526317,2.469462,0.5448,0.650838,0.025624,0.030748,0.024342,0.026905000000000002,0.025624,0.024342,0.026905000000000002,0.026905000000000002,0.695904,0.830469,0.056372000000000005
0.070465,0.124274,0.057652999999999996,0.071742,0.128118,1.5685950000000002,2.5312639999999997,0.546081,0.652119,0.028186000000000003,0.029467,0.024342,0.029467,0.028186000000000003,0.02178,0.028186000000000003,0.028186000000000003,0.701028,0.8291879999999999,0.056372000000000005
0.071746,0.124274,0.056372000000000005,0.08583400000000001,0.12683599999999998,1.6083120000000002,2.651695,0.546081,0.6546810000000001,0.026905000000000002,0.030748,0.026905000000000002,0.026905000000000002,0.026905000000000002,0.024342,0.028186000000000003,0.026905000000000002,0.694623,0.8355940000000001,0.057652999999999996
0.070465,0.124274,0.058934,0.087115,0.128118,1.62753,2.536389,0.549925,0.655963,0.028186000000000003,0.029467,0.025624,0.029467,0.028186000000000003,0.023061,0.029467,0.029467,0.693342,0.842,0.057652999999999996
0.071746,0.124274,0.057652999999999996,0.084553,0.12683599999999998,1.63906,2.5863549999999997,0.542237,0.652119,0.026905000000000002,0.030748,0.026905000000000002,0.026905000000000002,0.026905000000000002,0.024342,0.028186000000000003,0.026905000000000002,0.697185,0.8509680000000001,0.057652999999999996
0.070465,0.122993,0.058934,0.087115,0.12683599999999998,1.645466,2.563293,0.539675,0.652119,0.028186000000000003,0.621371,0.025624,0.029467,0.026905000000000002,0.024342,0.026905000000000002,0.026905000000000002,0.6907800000000001,0.8740290000000001,0.056372000000000005
0.073027,0.125555,0.060215,0.088396,0.128118,1.641623,2.491548,0.542237,0.650838,0.026905000000000002,0.791767,0.026905000000000002,0.029467,0.028186000000000003,0.024342,0.028186000000000003,0.026905000000000002,0.671563,0.898372,0.058934
0.073027,0.122993,0.058934,0.087115,0.12683599999999998,1.6339350000000001,2.4659240000000002,0.542237,0.652119,0.028186000000000003,1.031614,0.024342,0.029467,0.026905000000000002,0.024342,0.026905000000000002,0.028186000000000003,0.676687,0.909902,0.056372000000000005
0.070465,0.12171199999999999,0.060215,0.09864500000000001,0.128118,1.626248,2.49411,0.543519,0.6495569999999999,0.028186000000000003,0.6319560000000001,0.026905000000000002,0.029467,0.028186000000000003,0.024342,0.026905000000000002,0.028186000000000003,0.67925,0.917589,0.057652999999999996
0.071746,0.120431,0.058934,0.103769,0.128118,1.612155,2.504359,0.546081,0.6534,0.028186000000000003,0.685766,0.025624,0.029467,0.029467,0.024342,0.026905000000000002,0.028186000000000003,0.6702819999999999,0.9227139999999999,0.057652999999999996
0.070465,0.124274,0.060215,0.09352,0.12683599999999998,1.596781,2.5017970000000003,0.543519,0.648275,0.026905000000000002,0.652455,0.026905000000000002,0.029467,0.035873,0.023061,0.028186000000000003,0.026905000000000002,0.6613140000000001,0.927839,0.058934
0.071746,0.124274,0.058934,0.09352,0.128118,1.585251,2.467205,0.5448,0.650838,0.028186000000000003,0.630675,0.025624,0.029467,0.039716,0.024342,0.026905000000000002,0.026905000000000002,0.66772,0.927839,0.056372000000000005
0.071746,0.12683599999999998,0.060215,0.087115,0.128118,1.57372,2.478736,0.543519,0.652119,0.026905000000000002,0.610176,0.026905000000000002,0.029467,0.032029,0.024342,0.028186000000000003,0.026905000000000002,0.671563,0.912465,0.058934
0.071746,0.125555,0.058934,0.090958,0.12939900000000001,1.5634709999999998,2.500516,0.543519,0.6546810000000001,0.028186000000000003,0.49487,0.026905000000000002,0.029467,0.030748,0.023061,0.026905000000000002,0.026905000000000002,0.642098,0.9060590000000001,0.057652999999999996
0.071746,0.128118,0.062778,0.092239,0.12939900000000001,1.557065,2.500516,0.543519,0.6546810000000001,0.028186000000000003,0.38340799999999997,0.028186000000000003,0.030748,0.029467,0.024342,0.029467,0.026905000000000002,0.6280060000000001,0.943213,0.058934
0.073027,0.12683599999999998,0.058934,0.092239,0.12939900000000001,1.553221,2.512046,0.543519,0.644432,0.028186000000000003,0.48198900000000006,0.026905000000000002,0.028186000000000003,0.034592000000000005,0.024342,0.026905000000000002,0.026905000000000002,0.66772,0.9778049999999999,0.057652999999999996
0.070465,0.125555,0.060215,0.092239,0.128118,1.545534,2.5325450000000003,0.543519,0.6418699999999999,0.026905000000000002,0.37437,0.026905000000000002,0.029467,0.032029,0.024342,0.028186000000000003,0.026905000000000002,0.672844,0.991898,0.058934
0.073027,0.12683599999999998,0.060215,0.094801,0.13068,1.542972,2.5517630000000002,0.546081,0.643151,0.028186000000000003,0.344903,0.028186000000000003,0.028186000000000003,0.039716,0.025624,0.026905000000000002,0.026905000000000002,0.681812,0.966274,0.060215
0.071746,0.125555,0.061496,0.092239,0.12939900000000001,1.539128,2.572262,0.543519,0.648275,0.029467,0.28084499999999996,0.025624,0.029467,0.039716,0.024342,0.028186000000000003,0.026905000000000002,0.680531,0.982929,0.058934
0.071746,0.125555,0.060215,0.094801,0.12939900000000001,1.535285,2.5863549999999997,0.5358310000000001,0.648275,0.029467,0.137353,0.025624,0.026905000000000002,0.044841000000000006,0.024342,0.026905000000000002,0.028186000000000003,0.6843739999999999,0.9880540000000001,0.057652999999999996
0.071746,0.124274,0.061496,0.09352,0.12939900000000001,1.528879,2.594042,0.5383939999999999,0.650838,0.026905000000000002,0.120697,0.025624,0.029467,0.052528,0.024342,0.028186000000000003,0.026905000000000002,0.681812,0.9893350000000001,0.057652999999999996
0.073027,0.125555,0.060215,0.096083,0.13068,1.527598,2.595323,0.5358310000000001,0.6534,0.033311,0.203974,0.026905000000000002,0.028186000000000003,0.053809,0.024342,0.026905000000000002,0.028186000000000003,0.6830930000000001,0.985492,0.058934
0.073027,0.124274,0.061496,0.088396,0.12939900000000001,1.5250350000000001,2.5978849999999998,0.5358310000000001,0.6534,0.025624,0.373089,0.025624,0.028186000000000003,0.051247,0.024342,0.028186000000000003,0.026905000000000002,0.6843739999999999,0.976524,0.058934
0.071746,0.125555,0.060215,0.090958,0.13068,1.523754,2.592761,0.5358310000000001,0.6546810000000001,0.029467,0.26803299999999997,0.026905000000000002,0.028186000000000003,0.051247,0.023061,0.026905000000000002,0.026905000000000002,0.685655,0.966274,0.058934
0.073027,0.124274,0.061496,0.088396,0.12939900000000001,1.521192,2.588917,0.537112,0.6534,0.026905000000000002,0.0,0.025624,0.029467,0.060215,0.025624,0.026905000000000002,0.025624,0.686936,0.995741,0.058934
0.071746,0.125555,0.061496,0.080709,0.13068,1.519911,2.5825110000000002,0.543519,0.6546810000000001,0.029467,0.0,0.026905000000000002,0.028186000000000003,0.06918400000000001,0.023061,0.026905000000000002,0.028186000000000003,0.6894979999999999,1.025208,0.060215
0.073027,0.122993,0.061496,0.075585,0.12939900000000001,1.512224,2.576105,0.55505,0.6495569999999999,0.026905000000000002,0.0,0.024342,0.029467,0.057652999999999996,0.024342,0.028186000000000003,0.026905000000000002,0.688217,0.9701870000000001,0.058934
0.071746,0.125555,0.061496,0.07686599999999999,0.13068,1.512224,2.563293,0.5883619999999999,0.648275,0.026905000000000002,0.006406,0.026905000000000002,0.028186000000000003,0.051247,0.023061,0.026905000000000002,0.028186000000000003,0.685655,0.963781,0.060215
0.073027,0.125555,0.062778,0.07686599999999999,0.12939900000000001,1.516067,2.5568880000000003,0.621675,0.6495569999999999,0.028186000000000003,0.012812,0.025624,0.029467,0.046122,0.025624,0.029467,0.026905000000000002,0.6907800000000001,0.957375,0.058934
0.071746,0.124274,0.061496,0.07686599999999999,0.12683599999999998,1.523754,2.544076,0.549925,0.648275,0.028186000000000003,0.017936,0.026905000000000002,0.028186000000000003,0.058934,0.024342,0.028186000000000003,0.028186000000000003,0.6920609999999999,0.9291889999999999,0.060215
0.073027,0.124274,0.061496,0.07686599999999999,0.125555,1.532722,2.540232,0.539675,0.645713,0.026905000000000002,0.019218,0.025624,0.029467,0.078152,0.023061,0.028186000000000003,0.028186000000000003,0.693342,0.948407,0.058934
0.071746,0.122993,0.061496,0.08199,0.125555,1.54041,2.5325450000000003,0.5383939999999999,0.646994,0.028186000000000003,0.02178,0.026905000000000002,0.028186000000000003,0.081995,0.024342,0.028186000000000003,0.028186000000000003,0.697185,0.9496879999999999,0.060215
0.073027,0.124274,0.060215,0.06917899999999999,0.12683599999999998,1.546815,2.5325450000000003,0.539675,0.645713,0.026905000000000002,0.02178,0.025624,0.029467,0.075589,0.023061,0.026905000000000002,0.026905000000000002,0.693342,0.9535319999999999,0.058934
0.071746,0.122993,0.058934,0.084553,0.128118,1.553221,2.5325450000000003,0.546081,0.646994,0.028186000000000003,0.024342,0.026905000000000002,0.028186000000000003,0.090964,0.024342,0.028186000000000003,0.028186000000000003,0.698466,0.95225,0.058934
0.073027,0.124274,0.058934,0.087115,0.12683599999999998,1.56219,2.529983,0.55505,0.644432,0.026905000000000002,0.023061,0.026905000000000002,0.029467,0.073027,0.024342,0.026905000000000002,0.026905000000000002,0.697185,0.9548129999999999,0.058934
0.071746,0.122993,0.060215,0.094801,0.12939900000000001,1.569877,2.5312639999999997,0.553769,0.645713,0.028186000000000003,0.025624,0.025624,0.028186000000000003,0.078152,0.024342,0.028186000000000003,0.029467,0.697185,0.95225,0.060215
0.073027,0.125555,0.060215,0.075585,0.128118,1.575001,2.529983,0.557612,0.646994,0.028186000000000003,0.024342,0.025624,0.029467,0.071746,0.023061,0.028186000000000003,0.028186000000000003,0.695904,0.9535319999999999,0.060215
0.071746,0.128118,0.061496,0.07686599999999999,0.12939900000000001,1.57372,2.522296,0.558894,0.646994,0.028186000000000003,0.026905000000000002,0.026905000000000002,0.028186000000000003,0.070465,0.024342,0.028186000000000003,0.028186000000000003,0.697185,0.9509690000000001,0.060215
0.073027,0.133242,0.058934,0.092239,0.128118,1.571158,2.522296,0.570425,0.644432,0.028186000000000003,0.025624,0.024342,0.029467,0.06918400000000001,0.023061,0.026905000000000002,0.028186000000000003,0.699747,0.9496879999999999,0.060215
0.073027,0.12939900000000001,0.061496,0.06917899999999999,0.12939900000000001,1.5685950000000002,2.523577,0.5768310000000001,0.645713,0.028186000000000003,0.029467,0.028186000000000003,0.029467,0.070465,0.025624,0.028186000000000003,0.029467,0.703591,0.9445629999999999,0.061496
0.074308,0.12171199999999999,0.058934,0.070461,0.128118,1.5634709999999998,2.5210150000000002,0.5858,0.645713,0.028186000000000003,0.026905000000000002,0.042279000000000004,0.029467,0.06534,0.024342,0.026905000000000002,0.028186000000000003,0.707434,0.947126,0.060215
0.071746,0.119149,0.058934,0.056367999999999994,0.12939900000000001,1.554502,2.523577,0.593487,0.644432,0.028186000000000003,0.029467,0.046122,0.028186000000000003,0.06534,0.024342,0.028186000000000003,0.028186000000000003,0.709996,0.945844,0.060215
0.071746,0.120431,0.058934,0.06149299999999999,0.13068,1.5493780000000001,2.518452,0.589644,0.645713,0.029467,0.028186000000000003,0.042279000000000004,0.029467,0.066621,0.024342,0.026905000000000002,0.028186000000000003,0.711277,0.9496879999999999,0.060215
0.073027,0.119149,0.062778,0.074304,0.12939900000000001,1.537847,2.51589,0.5870810000000001,0.645713,0.032029,0.029467,0.025624,0.028186000000000003,0.067902,0.024342,0.028186000000000003,0.026905000000000002,0.713839,0.9496879999999999,0.058934
0.071746,0.122993,0.061496,0.09736399999999999,0.13068,1.5340040000000001,2.517171,0.589644,0.643151,0.029467,0.029467,0.026905000000000002,0.029467,0.067902,0.024342,0.026905000000000002,0.028186000000000003,0.712558,0.948407,0.061496
0.073027,0.12939900000000001,0.064059,0.08583400000000001,0.12939900000000001,1.53016,2.5210150000000002,0.592206,0.6418699999999999,0.032029,0.030748,0.024342,0.028186000000000003,0.060215,0.023061,0.026905000000000002,0.026905000000000002,0.712558,0.9496879999999999,0.058934
0.071746,0.125555,0.062778,0.08199,0.12939900000000001,1.5365659999999999,2.519733,0.594769,0.643151,0.032029,0.029467,0.026905000000000002,0.029467,0.062778,0.024342,0.026905000000000002,0.028186000000000003,0.707434,0.947126,0.060215
